"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.336669971063335","0.328853454723059","0.307852066523935","0.337440728217863","0.310511442654712","0.317999604962887","0.316617417780101","0.303977101742714","0.313232190679289","0.306384449514167","0.817783429145015","0.834902220976594","0.860065109997831","0.870361213979773","0.802259874465941","0.798834979955569","0.76627515813517","0.761721309163397","0.704159453389538","0.772372281532174","0.756203125165151","0.713960636849258","0.391958330854801","0.22900409914621","0.230765110971325","0.234199551063003","0.225563496529439","","","","",
"Afghanistan","AFG","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0540211456052098","0.0552407958412022","0.0400623125225303","0.0505780579001027","0.0579233049090815","0.0682774666834585","0.11922372056484","0.15687287642232","0.169526340797393","0.239145094139736","0.18025559130451","0.139147883462386","0.122607965680338","0.125786921534627","0.123719085173109","","","","",
"Angola","AGO","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.131576457119355","0.125390699697824","0.132918443266662","0.18985321801525","0.123565836342273","0.296879111904756","0.244667735420544","0.158252383515705","0.147993642161859","0.178877842393074","0.176919701111233","0.169454906259732","0.190998711260445","0.130307933579164","0.237104744058709","0.203760930028536","0.206082565927905","0.198845085377476","0.179347371056537","0.190772269789538","0.188842433343899","0.188179347157289","0.183621669113243","0.168575232545612","0.203531053846413","0.169026740011005","0.169340042024465","","","","",
"Albania","ALB","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.658371385485296","0.687502276622665","0.425000429925062","0.351872514536973","0.2621736619235","0.245592020291162","0.213677988267072","0.180498587690742","0.185458486795895","0.276572542315899","0.25326405498625","0.244876772864991","0.26377254890036","0.282845734325733","0.253782545137341","0.240821822895353","0.198604677038995","0.181744148218868","0.180390182045114","0.169540106817407","0.163834306986171","0.176700182758223","0.161307046242965","0.160560312129461","0.168756387011699","0.137425073955","0.131398114834477","","","","",
"Andorra","AND","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.429193555800162","0.43845933499878","0.441069981927226","0.465792293592621","0.455606785927026","0.410005171296907","0.394136007117389","0.364218793969519","0.356488559244722","0.349612220987698","0.3691296410701","0.353479734444223","0.353447086140992","0.356245937088578","0.348366821125035","0.336529773795528","0.322562526292845","0.295925340393181","0.300719310742691","0.314137256914796","0.308071434219423","0.294791575702938","0.29950938478152","0.290865068773714","0.307113352575913","0.337474317701377","0.336010969581224","","","","",
"United Arab Emirates","ARE","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.326100569580178","0.34282053875402","0.330737749030078","0.362106075518462","0.367607581185026","0.325996595554005","0.314542883021117","0.286844390128613","0.312743800989555","0.288125519536055","0.365132186329481","0.317434110387422","0.254684465153222","0.289883031198444","0.27305775502042","0.259012021552221","0.243986257583004","0.252280368503491","0.278048996648286","0.311794041390312","0.285942383858319","0.283410944920884","0.347934447196989","0.340977158553597","0.333378735331735","0.32397214924605","0.344555626535009","","","","",
"Argentina","ARG","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.477806954223093","0.442192798594984","0.415097849495512","0.364159762667627","0.349686059793872","0.36853449358048","0.361813563623139","0.336314233939324","0.324444842283516","0.348007849893463","0.331789277026342","0.31953233379238","0.329240296588797","0.321635252087985","0.335175606772753","0.307185510657116","0.298640128019288","0.266399724797999","0.271098931374203","0.272143162429401","0.255055967147943","0.240350474301527","0.235485796119431","0.227987633128167","0.233097076981657","0.231980332537406","0.227452976137376","","","","",
"Armenia","ARM","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.09256083847762","0.513322164184677","0.504890006164718","0.582952808526902","0.406437189991773","0.487944935925858","0.467531712410234","0.399933432246532","0.424668574657639","0.387580512033859","0.28960144549954","0.280955867116407","0.263216489110124","0.267402873138473","0.230829642505059","0.228338233689708","0.230036128458073","0.208718323531944","0.194911899545016","0.213010014376747","0.210849371094269","0.192870302254489","0.189174077210507","0.164699691452141","0.164045005766391","","","","",
"American Samoa","ASM","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
